Customer_ID,First_Name,Last_Name,Gender,Date_of_Birth,Age,Email,Phone,Address,City,State,Postal_Code,Country,Annual_Income,Credit_Score
CUST0001,Tony,Harrison,M,1983-02-19,42,lanenancy@example.com,851-938-9316,"71342 Banks Burgs, North Meganburgh, GU 76645",Marcmouth,Colorado,10666,USA,23278,648
CUST0002,Joann,Galvan,F,1974-04-26,51,brandy19@example.net,(566)532-7712,"06925 Gibson Cove, Youngmouth, DC 28634",Lake Julie,Arizona,32587,USA,52098,645
CUST0003,Austin,Jones,M,1992-01-01,33,wrightkayla@example.net,963-583-1637,"442 Collier Throughway Apt. 210, Annachester, SC 13867",North Rodney,Ohio,77034,USA,38289,670
CUST0004,Frank,Olson,M,2005-05-26,19,crystalbell@example.org,001-304-766-8686x864,"85536 Kayla Crossing, Smithland, NV 91045",Kelleyborough,Maryland,46824,USA,108696,784
CUST0005,Jason,Carroll,M,1971-12-06,53,amykennedy@example.org,594.819.3990,"498 Emily Plaza Suite 199, Moorefurt, HI 02458",New Nicholasmouth,Indiana,31544,USA,97397,685
CUST0006,Yolanda,Oneal,F,1977-09-29,47,moodymegan@example.com,(748)293-0210,"USCGC Mendoza, FPO AA 66046",Vickimouth,Minnesota,57804,USA,24165,612
CUST0007,Richard,White,M,1969-05-08,55,nmora@example.org,497-261-8967,"202 Tanya Corners, West Justin, FL 41113",Valenciachester,New Hampshire,54631,USA,32280,711
CUST0008,Zachary,Lee,M,1957-09-12,67,joannegutierrez@example.com,256.395.0269x658,"3808 Little Loop, Thomaston, MH 35457",Duranland,Louisiana,19007,USA,50495,688
CUST0009,Devin,Marshall,M,1952-09-11,72,marcia99@example.org,652.298.1179x225,"838 Joanna Creek Apt. 395, New Wesleychester, PW 75378",Lake Jamesmouth,New York,77775,USA,93563,670
CUST0010,Kevin,Fleming,M,1975-03-27,50,gabriellehansen@example.org,(742)374-6367x9468,"95733 Melody Islands Apt. 230, West Valerie, AK 25231",North Kathyburgh,Minnesota,61475,USA,113850,740
CUST0011,Stephanie,Ortiz,F,2005-12-03,19,cunninghammichelle@example.net,700-688-8800x34268,"58106 Torres Alley Apt. 680, Hodgeside, ID 25900",New Shirleybury,Alaska,02382,USA,48893,625
CUST0012,Laura,Hess,F,1954-08-18,70,reeselindsay@example.com,(221)548-0466,"USNV Small, FPO AA 18231",South Alexisshire,Alabama,29750,USA,97236,673
CUST0013,Alexis,Cochran,F,1982-09-20,42,trevor36@example.com,(218)675-1969x20846,"72559 Hudson Mount Suite 221, New Renee, VT 90590",West Michael,Ohio,53315,USA,126093,738
CUST0014,Devin,Williams,M,1952-09-03,72,mbrown@example.org,+1-556-575-7497x670,"0464 Moreno Causeway, Gailshire, TX 50489",Frankfurt,West Virginia,73406,USA,119458,623
CUST0015,Greg,Rose,M,2003-09-01,21,adam95@example.org,+1-477-268-3236x08918,"PSC 1341, Box 6156, APO AE 94849",New Ronaldport,Colorado,54919,USA,111506,625
CUST0016,Casey,Richardson,F,1997-04-30,27,larry47@example.net,001-393-497-0301x64204,"557 Andrew Plains Suite 283, Bowmanfort, RI 35171",West Lisaport,North Carolina,26543,USA,64597,636
